"","Year","Region","Presence","Lower","Upper","SE_Total"
"65",2012,"TB",0.301805071661251,0.213470509778172,0.39744821498759,0.0465275843264754
"66",2013,"BB",0.650051357134224,0.479955752859987,0.790117464502739,0.0786554543128524
"67",2013,"KY",0.235538754636511,0.10845740142203,0.395712065408817,0.0765560589206986
"68",2013,"NW",0.380001132132988,0.280632207212261,0.48860498033131,0.0527607698899239
"69",2013,"SW",0.315276370369175,0.228850680538505,0.405374821313572,0.0464293028822965
"70",2013,"TB",0.29253352352467,0.207879997153896,0.378750620227945,0.0449122101531831
"71",2014,"BB",0.613203834216868,0.444932254371841,0.763635975971323,0.0809693978847662
"72",2014,"KY",0.245661271168462,0.117058317113898,0.411295497403911,0.0776058462275623
"73",2014,"NW",0.3546408667555,0.259112647177233,0.466276649517938,0.0531762413850627
"74",2014,"SW",0.326981677309227,0.236478152592184,0.421522196261543,0.0477501962885488
"75",2014,"TB",0.291049280949879,0.204830250227649,0.388660581771129,0.0463849794156583
"76",2015,"BB",0.657654200012755,0.477230500036944,0.796399090521559,0.0802210816362266
"77",2015,"KY",0.281874427356853,0.136997552072976,0.448331102204284,0.0822647265368534
"78",2015,"NW",0.381350061778818,0.288246735990851,0.479592048634579,0.0492442697458351
"79",2015,"SW",0.374560254505243,0.284472184654771,0.467255690427583,0.0468139458409411
"80",2015,"TB",0.335891602788757,0.245771425426465,0.428193049978646,0.0470501371578737
"81",2016,"BB",0.659075415220728,0.49949574145138,0.799837554329476,0.0788747973652251
"82",2016,"KY",0.274725283014978,0.141326653646477,0.441872837275451,0.0800306561452334
"83",2016,"NW",0.398520686353202,0.303233455514366,0.499099116065566,0.0508923227512275
"84",2016,"SW",0.364811405651431,0.282739578240963,0.456482446934467,0.0469204036425905
"85",2016,"TB",0.338188327741124,0.251821994742458,0.429030359167432,0.0458582590214287
"86",2017,"BB",0.645915642379638,0.476762340582939,0.78821022744611,0.0838016435994049
"87",2017,"KY",0.272602677510774,0.13503749460138,0.448229273773429,0.0831592396488473
"88",2017,"NW",0.402494237877234,0.301728232732986,0.501945790527317,0.0517137565014518
"89",2017,"SW",0.357779331680649,0.266530336660903,0.456350096754878,0.049154031677658
"90",2017,"TB",0.335565628433249,0.247861067259349,0.428414454314306,0.0461125160798677
"91",2018,"BB",0.615037914445138,0.427188067367657,0.770284937454069,0.0856654368009004
"92",2018,"KY",0.287912912212775,0.137592670588821,0.468003550973297,0.0862261354754209
"93",2018,"NW",0.387538079087007,0.28458281042444,0.48638161677505,0.0518960826175694
"94",2018,"SW",0.367614839633441,0.276784896598214,0.466444673484884,0.0497631095417821
"95",2018,"TB",0.324250081738124,0.233090298250232,0.412182491039464,0.0459112871466842
"96",2019,"BB",0.626307624677117,0.441646832147114,0.784997380810842,0.088120204363463
"97",2019,"KY",0.324271533963135,0.163213266226364,0.497171697646073,0.0893070443641709
"98",2019,"NW",0.421910654873871,0.316380185041739,0.531212303394902,0.0569993791100152
"99",2019,"SW",0.412381564409082,0.31562362987172,0.504635022926605,0.0484883362690589
"100",2019,"TB",0.356009884903285,0.259703492250233,0.456406398606492,0.0500441138513838
"101",2020,"BB",0.594251150805341,0.400153233186876,0.759543351234514,0.095205627785283
"102",2020,"KY",0.309408729680857,0.154550990942565,0.497696842887987,0.0902719296972079
"103",2020,"NW",0.436730399889777,0.32587294056717,0.551192358427161,0.0611279862559781
"104",2020,"SW",0.398278536391632,0.303234625111999,0.485485630411047,0.0479877560675838
"105",2020,"TB",0.347781771672605,0.251877880001962,0.453896462892257,0.0520830727494413
"106",2021,"BB",0.558598599224093,0.372081385903438,0.740836186805925,0.0940498004065945
"107",2021,"KY",0.34224702567508,0.176002117303813,0.533804218886144,0.0951630707007374
"108",2021,"NW",0.45260568668083,0.342495403057272,0.563546962274919,0.057862891361589
"109",2021,"SW",0.432500135545663,0.329770891994304,0.528351551972846,0.0507437355070306
"110",2021,"TB",0.351147751310214,0.247717935128496,0.462859470334564,0.0545930021361509
"111",2022,"BB",0.557362083940967,0.369726862307218,0.739139429150783,0.0937474442352618
"112",2022,"KY",0.365861337714036,0.17908593296202,0.552487834813964,0.097479021603825
"113",2022,"NW",0.448073489946699,0.344557460784913,0.562025555702377,0.0569410204845938
"114",2022,"SW",0.46130980930272,0.352403051976978,0.567811673998712,0.0554996340926036
"115",2022,"TB",0.369560489217618,0.267214576291589,0.481738901712862,0.0566888293098381
"116",2023,"BB",0.570971955436403,0.365346871674054,0.755646440987818,0.100536009929896
"117",2023,"KY",0.385121535414968,0.193523461317259,0.578986799810714,0.103399317545788
"118",2023,"NW",0.451655041674227,0.313472053884535,0.583307753790539,0.0692514305828223
"119",2023,"SW",0.474480061682664,0.360966818195394,0.593109865118078,0.0607919215679012
"120",2023,"TB",0.384792801615906,0.275025905470861,0.492302005646843,0.055489606706349
