"","Year","Region","Intensity","Lower","Upper","SE_Total"
"1",2009,"BB",0.002275895768125,0.00102851899428769,0.00452919118966432,0.000916232422781373
"2",2009,"KY",0.0448264902781905,0.0378019417580817,0.0534937752367858,0.00390006876348094
"3",2009,"NW",0.050616015794548,0.0433970977745495,0.0587302173366364,0.00417808571394314
"4",2009,"SW",0.0211874194986453,0.0175847026306229,0.0251761827815142,0.0026486363617987
"5",2009,"TB",0.0453684467857648,0.0392745527095368,0.0522342983962019,0.00375015581886774
"6",2010,"BB",0.00255766347234685,0.00131336567051691,0.00462402933087455,0.000897002391941699
"7",2010,"KY",0.0419283747045964,0.0355513261055881,0.0492465624030299,0.00356256038825957
"8",2010,"NW",0.0305051347752922,0.0252171521356248,0.0366560379494294,0.00347840781171554
"9",2010,"SW",0.0216772447255324,0.0181257494787685,0.0257615201654237,0.00238798642865485
"10",2010,"TB",0.0462749658277235,0.0400796273884982,0.0533565968986904,0.00376217941185946
"11",2011,"BB",0.00309934385184652,0.0017024521944171,0.00550298117920192,0.000966625751436552
"12",2011,"KY",0.0446322096846068,0.0381345202944941,0.051750243307742,0.00348625487393099
"13",2011,"NW",0.0525543302183568,0.0459195085670624,0.0601280768561936,0.00407307560815963
"14",2011,"SW",0.0161014704550695,0.0130578847270709,0.019393801867394,0.00197022302312812
"15",2011,"TB",0.0486044566717356,0.0424109116118195,0.0554960554309186,0.00357589209241932
"16",2012,"BB",0.00335216250662414,0.0019832517644345,0.00548131767487186,0.000907971871531623
"17",2012,"KY",0.0537136946560271,0.0464334674103522,0.0619479190071107,0.00400415388690061
"18",2012,"NW",0.0631344286234544,0.0556300083721857,0.0711966912730446,0.00539471530640147
"19",2012,"SW",0.0255742327009897,0.021787419962785,0.029999557142456,0.00243604146902683
"20",2012,"TB",0.0583740813903805,0.0518386315021924,0.0659563858666127,0.00367627714410949
"21",2013,"BB",0.00456923482877096,0.0028157485060758,0.00750378463901641,0.00117342069760692
"22",2013,"KY",0.0531907327218522,0.0453950113550485,0.0621312709129779,0.00412799025218978
"23",2013,"NW",0.0549384548245519,0.0474526857616424,0.0630691930462987,0.00517640103373671
"24",2013,"SW",0.030071098420197,0.0258229695042457,0.0356639979780708,0.00253161554345909
"25",2013,"TB",0.0522939225071881,0.0461902953437641,0.0588322450202144,0.00339592967981763
"26",2014,"BB",0.00547560273704154,0.00346464120341437,0.00813455352597713,0.00123281949869174
"27",2014,"KY",0.0621905864906662,0.0542744850358287,0.0712688253125777,0.00449941355141825
"28",2014,"NW",0.05517972289184,0.0482688483019917,0.0631338556233652,0.00487375264973129
"29",2014,"SW",0.0261011048527354,0.0224022289529407,0.0303468553044043,0.00230894711791318
"30",2014,"TB",0.0507535532170824,0.0443371763640678,0.0575159780786423,0.00386144845895286
"31",2015,"BB",0.00571162780127297,0.00365304850549316,0.00845386906025294,0.00121720339171154
"32",2015,"KY",0.0655496681045781,0.0573731537556078,0.0746755002011163,0.00446928462884175
"33",2015,"NW",0.0705307669022634,0.0625829973931503,0.0794613314089934,0.00470180671560476
"34",2015,"SW",0.0199813787459227,0.0165807946336219,0.0240469632462037,0.0023990906569486
"35",2015,"TB",0.0625239139137084,0.0553264859395303,0.0697433136903537,0.00374589652886277
"36",2016,"BB",0.00827883252086029,0.00555154842691483,0.0117750333609429,0.00157985568817452
"37",2016,"KY",0.0631916425309581,0.0552623904173481,0.0727293992140536,0.00458027309747085
"38",2016,"NW",0.0644924847800376,0.0566282020512487,0.073236980157925,0.0042108725014627
"39",2016,"SW",0.0180803797285511,0.0149317074172318,0.0218402137863702,0.00237103256249993
"40",2016,"TB",0.0822361199279987,0.07444911788529,0.0909375069110653,0.00433275231497135
"41",2017,"BB",0.00860633822843895,0.00586181971534647,0.0126218569835917,0.00169783067838163
"42",2017,"KY",0.0506518478276764,0.0433028133576789,0.0588641522939769,0.00381998500148838
"43",2017,"NW",0.070257068358812,0.0621820346151347,0.0792551970448045,0.0044520589548122
"44",2017,"SW",0.0243799192484327,0.0203996145985279,0.0286504174786136,0.00252510739010419
"45",2017,"TB",0.0732414861571205,0.0658550314332846,0.0816036075196747,0.00417627957445633
"46",2018,"BB",0.0115479038963929,0.0081482287038667,0.0158543826928067,0.00211399664103428
"47",2018,"KY",0.0613543219979676,0.053569601052402,0.070348125354886,0.00421792652818628
"48",2018,"NW",0.0696223161739253,0.0612975921154398,0.0792985073810034,0.00471552627880876
"49",2018,"SW",0.017060225250488,0.0139010271542652,0.0210260700457275,0.0019321376846402
"50",2018,"TB",0.0876276614357158,0.0792510681647714,0.096706271425512,0.00438448836421583
"51",2019,"BB",0.0129419354336943,0.00930161775725326,0.0176033125154498,0.00221948632536855
"52",2019,"KY",0.11125550590966,0.0995121271518656,0.123141425250337,0.0059476592629288
"53",2019,"NW",0.0693314091807745,0.0615270370383339,0.0782109385412037,0.00448613876372306
"54",2019,"SW",0.018872745998413,0.01546126592836,0.0231240983808337,0.00205948537137958
"55",2019,"TB",0.078752084591526,0.0712209113593078,0.0875271172357973,0.00447742662407876
"56",2020,"BB",0.0135444600113167,0.0097445517561531,0.0178439750331071,0.00238554335269922
"57",2020,"KY",0.0652267721106234,0.0570943685104052,0.0740208669711555,0.00435010226479072
"58",2020,"NW",0.079907564678957,0.0712566081018025,0.0891154995445701,0.00501991729747932
"59",2020,"SW",0.0283813859450188,0.0241371468737847,0.033242321850965,0.00241329584965499
"60",2020,"TB",0.0875743521038541,0.0790931402749276,0.0969214200531617,0.00522292115488731
"61",2021,"BB",0.0162876594248949,0.0117523878450898,0.02172473390703,0.00334572875494614
"62",2021,"KY",0.0698401600829422,0.060861391672691,0.0791288084363969,0.00466473470708989
"63",2021,"NW",0.0855543980726437,0.0763571882833162,0.0959863376127773,0.00545750563630794
"64",2021,"SW",0.0290475930068573,0.0251209590131944,0.0341821763674628,0.00241957179834282
"65",2021,"TB",0.105760855121331,0.0970133518108672,0.116973367992576,0.00598425168965851
"66",2022,"BB",0.0227836605815105,0.017302683022483,0.0303355956217288,0.0063039696502628
"67",2022,"KY",0.0647278874187687,0.0567919662670677,0.0740676583074958,0.00443762195756594
"68",2022,"NW",0.078385794738504,0.0693662520943999,0.0880763848142776,0.00688922313550422
